,intensity
0,0.0001
1,0.001
2,0.004
3,0.008
4,0.01
5,0.04
6,0.08
7,0.1
8,0.4
9,0.8
10,1.0
11,2.0
12,3.0
13,4.0
14,5.0
15,6.0
16,7.0
17,8.0
18,9.0
19,10.0
20,15.0
21,20.0
22,25.0
23,50.0
24,100.0
25,200.0
26,300.0
27,500.0
